Name,URL,Category,Reason
Talk Like a Pirate,https://www.amazon.co.uk/Lamplight-Station-Talk-Like-Pirate/dp/B07DGSHWY9,Kids,Low average rating
TikTok,https://www.amazon.com/TikTok-Pte-Ltd/dp/B08FWXCJKC,Social,Popular
Sex Facts,https://www.amazon.com/Shashank-Shekhar-Sex-Facts/dp/B07RRWPTXP,Education & Reference,High average rating
WebMD,https://www.amazon.com/WebMD-Health-Corp/dp/B01MRM361G,Lifestyle,Popular
Virtual Trump,https://www.amazon.com/Orion-Magneto-Virtual-Trump/dp/B075JMY61M,Novelty & Humour,Rated mature
Meanie,https://www.amazon.com/CMM-Tech-Meanie/dp/B01KSM96CW,Games & Trivia,Rated mature
Vivint.SmartHome - Complete,https://www.amazon.com/Vivint-Inc-Vivint-SmartHome-Complete/dp/B01A6ACVD2,Social,Popular
Jeopardy!,https://www.amazon.com/gp/product/B019G0M2WS,Knowledge & Trivia,Popular
I Hate You,https://www.amazon.com/gp/product/B07W937KXC,Novelty & Humour,Rated mature
Bitter Becky,https://www.amazon.com/JED-Bitter-Becky/dp/B074YBWM1T,Novelty & Humour,Rated Suggested Guidance
"Adult Humor - Jokes, Satires and Compliments",https://www.amazon.com/gp/product/B07N69D4VH,Novelty & Humour,Rated mature
Annoy my Mom,https://www.amazon.com/gp/product/B07GFP9M5F,Novelty & Humour,very short description
Amazon: Call Santa,https://www.amazon.com/Amazon-Call-Santa/dp/B07Z9KCZSL,Kids,Popular
